Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
NAME,X,Y,LABELS,tumor,treatment,Immune_resistance,Immune_resistance.up,Immune_resistance.down,OE.Immune_resistance,OE.Immune_resistance.up,OE.Immune_resistance.down,no.genes,log.no.reads
TYPE,numeric,numeric,group,group,group,group,group,group,numeric,numeric,numeric,numeric,numeric
cy79_p3_CD45_neg_PDL1_neg_H06_S282_comb, 34.52653669,  7.90498217,Mel79,Mel79,TN,low,low,high,-2.490528571,-1.002840735, 1.4876878359, 3705,12.615424
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A09_S9_comb,  9.91805389, -0.53136638,Mel79,Mel79,TN,low,low,high,-2.223625027,-1.007321888, 1.2163031386, 4411,11.354703
cy79_p4_CD45_neg_PDL1_pos_B08_S404_comb,  8.15143217,  4.45589939,Mel79,Mel79,TN,low,low,high,-2.083476707,-0.854979800, 1.2284969069, 5717,12.337509
Cy71_CD45_F02_S542_comb,-44.98393065,-25.56141241,Mel71,Mel71,TN,low,low,high,-1.202835376,-0.584060236, 0.6187751396, 3713,11.621843
CY88_5_H12_S768_comb,  6.94804363, 51.67851391,Mel88,Mel88,ICR,high,high,low, 0.667447414, 0.107579765,-0.5598676491,12608,13.391066
cy79_p3_CD45_neg_PDL1_neg_E11_S251_comb, 39.96374280,  3.23735809,Mel79,Mel79,TN,low,low,high,-2.467694028,-0.583362460, 1.8843315686, 3705,12.111938
CY88_5_E01_S721_comb,  4.75779347, 53.51821225,Mel88,Mel88,ICR,high,high,low, 0.842642415, 0.189364849,-0.6532775663, 5984,12.426801
cy79_p5_CD45_neg_PDL1_pos_B03_S687_comb, 41.72848933, -2.34570111,Mel79,Mel79,TN,low,low,high,-2.453726710,-0.911396529, 1.5423301806, 3720,11.184574
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E09_S57_comb, 25.74701737, -9.08317940,Mel79,Mel79,TN,low,low,high,-1.910805724,-0.860885832, 1.0499198919, 5742,12.734389
cy79_p5_CD45_neg_PDL1_neg_F04_S832_comb, 38.04627900,  1.86086441,Mel79,Mel79,TN,low,low,high,-2.402494572,-0.845638267, 1.5568563053, 4213,12.353402
Cy71_CD45_H12_S672_comb,-41.72681685,-19.69587217,Mel71,Mel71,TN,high,high,low, 1.483972369, 0.504560107,-0.9794122624, 3848,14.329315
Cy81_Bulk_CD45_F07_S163_comb, -8.71696222,-54.24041338,Mel81,Mel81,TN,low,low,high,-0.128474825,-0.055567765, 0.0729070607, 3527,12.855819
cy79_p3_CD45_neg_PDL1_neg_G08_S272_comb, 37.69972497, -0.88306896,Mel79,Mel79,TN,low,low,high,-2.818367947,-1.212554764, 1.6058131835, 3936,11.926570
