Column1,Column2,Column3,Column1,Column2,Column3,,,
NAME,X,Y,NAME,CLUSTER,SUB-CLUSTER,,,
TYPE,numeric,numeric,TYPE,group,group,,,
Cy80_II_CD45_F08_S932_comb,90.31654969,23.09679082,Cy81_FNA_CD45_F10_S262_comb,T,T,cy84_Primary_CD45_pos_H06_S474_comb,B,B
Cy72_CD45_F04_S736_comb,53.16309213,-67.60784041,Cy74_CD45_E02_S434_comb,T,T,cy84_Primary_CD45_pos_G08_S464_comb,T,T
CY58_1_CD45_H11_S1055_comb,-48.91902535,35.45059183,Cy72_CD45_C03_S699_comb,B,B,cy84_Primary_CD45_pos_D06_S426_comb,T,T
CY58_1_CD45_A03_S963_comb,-35.93376057,46.85417495,Cy81_FNA_CD45_G11_S275_comb,B,B,cy84_Primary_CD45_pos_B02_S398_comb,B,B
Cy74_CD45_E07_S439_comb,-57.59510646,37.97363743,Cy81_FNA_CD45_B01_S205_comb,T,T,cy84_Primary_CD45_pos_E07_S439_comb,B,B
Cy72_CD45_C02_S698_comb,-8.129154604,33.18271608,CY58_1_CD45_D06_S1002_comb,T,T,cy84_Primary_CD45_pos_G11_S467_comb,B,B
Cy81_FNA_CD45_F03_S255_comb,-31.93610867,44.92722333,Cy72_CD45_D04_S712_comb,T,T,cy84_Primary_CD45_pos_C08_S416_comb,Macrophage,Macrophage
CY58_1_CD45_C02_S986_comb,-53.32349033,4.733307661,Cy72_CD45_C06_S702_comb,B,B,cy84_Primary_CD45_pos_H07_S475_comb,T,T
Cy74_CD45_F04_S448_comb,-56.88042906,-8.271692187,Cy71_CD45_B04_S496_comb,undefined,undefined,cy60_1_cd_45_pos_3_E10_S346_comb,NK,NK
Cy74_CD45_G10_S466_comb,-45.71969872,41.83723953,Cy74_CD45_F10_S454_comb,B,B,cy60_1_cd_45_pos_4_B04_S16_comb,T,T
Cy81_FNA_CD45_C03_S219_comb,-26.37584924,38.81607575,Cy72_CD45_C12_S708_comb,T,T,cy60_1_cd_45_pos_4_G06_S78_comb,T,T
Cy72_CD45_F03_S735_comb,-14.36529254,60.14556546,Cy72_CD45_E04_S724_comb,T,T,cy60_1_cd_45_pos_3_C06_S318_comb,T,T
CY58_1_CD45_C05_S989_comb,-21.15986002,59.55197381,Cy81_Bulk_CD45_E11_S155_comb,undefined,undefined,cy60_1_cd_45_pos_4_B10_S22_comb,T,T
Cy72_CD45_G11_S755_comb,30.66817496,-38.25664143,Cy81_FNA_CD45_B02_S206_comb,T,T,cy60_1_cd_45_pos_4_A06_S6_comb,T,T
